이용일자,이용가맹점,이용금액,할부기간,회차,원금,수수료,이용혜택,혜택금액,결제후잔액,포인트
2026-02-10,하이마트 강남점,720000,6개월,6/6,120000,1800,없음,0,0,600
2026-07-01,GS25 학동역점,14857,일시불,-,14857,0,없음,0,0,74
2026-07-05,파리바게뜨,19588,일시불,-,19588,0,없음,0,0,98
2026-07-07,이마트 성수점,49790,일시불,-,49790,0,없음,0,0,249
2026-07-08,SK주유소,55561,일시불,-,55561,0,없음,0,0,278
2026-07-09,파리바게뜨,19460,일시불,-,19460,0,없음,0,0,97
2026-07-10,배달의민족,17366,일시불,-,17366,0,포인트 적립,347,0,87
2026-07-11,파리바게뜨,13355,일시불,-,13355,0,없음,0,0,67
2026-07-12,교촌치킨,26419,일시불,-,26419,0,포인트 적립,528,0,132
2026-07-12,배달의민족,26205,일시불,-,26205,0,없음,0,0,131
2026-07-14,CGV,14207,일시불,-,14207,0,없음,0,0,71
2026-07-14,네이버페이,39465,일시불,-,39465,0,없음,0,0,197
2026-07-15,쿠팡,48559,일시불,-,48559,0,포인트 적립,971,0,243
2026-07-16,CGV,14470,일시불,-,14470,0,없음,0,0,72
2026-07-18,스타벅스 강남점,7568,일시불,-,7568,0,포인트 적립,151,0,38
2026-07-19,스타벅스 강남점,5777,일시불,-,5777,0,없음,0,0,29
2026-07-20,넷플릭스,17000,일시불,-,17000,0,포인트 적립,340,0,85
2026-07-20,이마트 성수점,104415,일시불,-,104415,0,없음,0,0,522
2026-07-20,파리바게뜨,17336,일시불,-,17336,0,없음,0,0,87
2026-07-21,무신사,68389,일시불,-,68389,0,포인트 적립,1368,0,342
2026-07-22,카카오T,14758,일시불,-,14758,0,포인트 적립,295,0,74
2026-07-23,다이소,9498,일시불,-,9498,0,포인트 적립,190,0,47
2026-07-23,올리브영,21678,일시불,-,21678,0,없음,0,0,108
2026-07-25,다이소,7558,일시불,-,7558,0,없음,0,0,38
2026-07-26,배달의민족,30544,일시불,-,30544,0,포인트 적립,611,0,153
2026-07-26,SK주유소,65182,일시불,-,65182,0,없음,0,0,326
2026-07-27,교촌치킨,23066,일시불,-,23066,0,포인트 적립,461,0,115
