이용일자,이용가맹점,이용금액,할부기간,회차,원금,수수료,이용혜택,혜택금액,결제후잔액,포인트
2026-02-02,쿠팡,67302,일시불,-,67302,0,포인트 적립,1346,0,337
2026-02-03,CGV,15674,일시불,-,15674,0,없음,0,0,78
2026-02-04,쿠팡,42512,일시불,-,42512,0,없음,0,0,213
2026-02-07,무신사,114674,일시불,-,114674,0,없음,0,0,573
2026-02-07,무신사,85566,일시불,-,85566,0,없음,0,0,428
2026-02-08,GS25 학동역점,13334,일시불,-,13334,0,없음,0,0,67
2026-02-09,교촌치킨,23787,일시불,-,23787,0,포인트 적립,476,0,119
2026-02-09,CGV,20572,일시불,-,20572,0,포인트 적립,411,0,103
2026-02-09,파리바게뜨,2058,일시불,-,2058,0,포인트 적립,41,0,10
2026-02-10,하이마트 강남점,720000,6개월,1/6,120000,10800,없음,0,600000,600
2026-02-13,이마트 성수점,85589,일시불,-,85589,0,없음,0,0,428
2026-02-15,교촌치킨,22805,일시불,-,22805,0,없음,0,0,114
2026-02-15,GS25 학동역점,14455,일시불,-,14455,0,없음,0,0,72
2026-02-17,넷플릭스,17000,일시불,-,17000,0,없음,0,0,85
2026-02-18,다이소,4291,일시불,-,4291,0,없음,0,0,21
2026-02-18,쿠팡,34431,일시불,-,34431,0,없음,0,0,172
2026-02-20,무신사,84082,일시불,-,84082,0,없음,0,0,420
2026-02-21,CGV,17483,일시불,-,17483,0,없음,0,0,87
2026-02-24,배달의민족,12819,일시불,-,12819,0,없음,0,0,64
2026-02-24,올리브영,24144,일시불,-,24144,0,포인트 적립,483,0,121
2026-02-26,스타벅스 강남점,7608,일시불,-,7608,0,포인트 적립,152,0,38
2026-02-27,파리바게뜨,18415,일시불,-,18415,0,없음,0,0,92
2026-02-27,올리브영,36252,일시불,-,36252,0,없음,0,0,181
2026-02-27,GS25 학동역점,6252,일시불,-,6252,0,포인트 적립,125,0,31
