이용일자,이용가맹점,이용금액,할부기간,회차,원금,수수료,이용혜택,혜택금액,결제후잔액,포인트
2026-02-10,하이마트 강남점,720000,6개월,4/6,120000,5400,없음,0,240000,600
2026-05-01,올리브영,29609,일시불,-,29609,0,없음,0,0,148
2026-05-02,배달의민족,24535,일시불,-,24535,0,없음,0,0,123
2026-05-04,CGV,14452,일시불,-,14452,0,없음,0,0,72
2026-05-04,SK주유소,46253,일시불,-,46253,0,없음,0,0,231
2026-05-06,교촌치킨,21203,일시불,-,21203,0,없음,0,0,106
2026-05-06,올리브영,32485,일시불,-,32485,0,없음,0,0,162
2026-05-07,김밥천국,9350,일시불,-,9350,0,없음,0,0,47
2026-05-09,다이소,8378,일시불,-,8378,0,없음,0,0,42
2026-05-11,CGV,24209,일시불,-,24209,0,없음,0,0,121
2026-05-13,교촌치킨,23672,일시불,-,23672,0,없음,0,0,118
2026-05-14,CGV,26818,일시불,-,26818,0,없음,0,0,134
2026-05-14,무신사,80114,일시불,-,80114,0,없음,0,0,401
2026-05-14,GS25 학동역점,14112,일시불,-,14112,0,포인트 적립,282,0,71
2026-05-14,넷플릭스,17000,일시불,-,17000,0,포인트 적립,340,0,85
2026-05-14,카카오T,10143,일시불,-,10143,0,없음,0,0,51
2026-05-15,CGV,7976,일시불,-,7976,0,없음,0,0,40
2026-05-17,배달의민족,21840,일시불,-,21840,0,없음,0,0,109
2026-05-18,김밥천국,10326,일시불,-,10326,0,없음,0,0,52
2026-05-19,SK주유소,50851,일시불,-,50851,0,없음,0,0,254
2026-05-19,배달의민족,24622,일시불,-,24622,0,포인트 적립,492,0,123
2026-05-21,SK주유소,56506,일시불,-,56506,0,없음,0,0,283
2026-05-24,교촌치킨,26084,일시불,-,26084,0,포인트 적립,522,0,130
2026-05-24,다이소,14097,일시불,-,14097,0,없음,0,0,70
2026-05-25,배달의민족,23589,일시불,-,23589,0,없음,0,0,118
2026-05-26,올리브영,25649,일시불,-,25649,0,없음,0,0,128
2026-05-27,올리브영,28079,일시불,-,28079,0,없음,0,0,140
2026-05-27,무신사,79001,일시불,-,79001,0,없음,0,0,395
