이용일자,이용가맹점,이용금액,할부기간,회차,원금,수수료,이용혜택,혜택금액,결제후잔액,포인트
2026-02-10,하이마트 강남점,720000,6개월,5/6,120000,3600,없음,0,120000,600
2026-06-02,카카오T,7400,일시불,-,7400,0,포인트 적립,148,0,37
2026-06-05,배달의민족,26957,일시불,-,26957,0,없음,0,0,135
2026-06-05,쿠팡,30136,일시불,-,30136,0,포인트 적립,603,0,151
2026-06-05,쿠팡,68179,일시불,-,68179,0,없음,0,0,341
2026-06-06,교촌치킨,22792,일시불,-,22792,0,없음,0,0,114
2026-06-06,다이소,14864,일시불,-,14864,0,없음,0,0,74
2026-06-07,카카오T,18573,일시불,-,18573,0,포인트 적립,371,0,93
2026-06-08,올리브영,35343,일시불,-,35343,0,없음,0,0,177
2026-06-08,올리브영,46996,일시불,-,46996,0,없음,0,0,235
2026-06-09,네이버페이,38495,일시불,-,38495,0,없음,0,0,192
2026-06-09,김밥천국,8920,일시불,-,8920,0,없음,0,0,45
2026-06-09,이마트 성수점,29057,일시불,-,29057,0,없음,0,0,145
2026-06-10,스타벅스 강남점,5940,일시불,-,5940,0,없음,0,0,30
2026-06-13,다이소,11099,일시불,-,11099,0,포인트 적립,222,0,55
2026-06-13,네이버페이,10902,일시불,-,10902,0,없음,0,0,55
2026-06-15,CGV,26374,일시불,-,26374,0,없음,0,0,132
2026-06-15,교촌치킨,25488,일시불,-,25488,0,없음,0,0,127
2026-06-15,올리브영,32996,일시불,-,32996,0,포인트 적립,660,0,165
2026-06-18,파리바게뜨,8822,일시불,-,8822,0,포인트 적립,176,0,44
2026-06-18,교촌치킨,23710,일시불,-,23710,0,없음,0,0,119
2026-06-18,카카오T,17195,일시불,-,17195,0,포인트 적립,344,0,86
2026-06-19,교촌치킨,26159,일시불,-,26159,0,포인트 적립,523,0,131
2026-06-19,스타벅스 강남점,7635,일시불,-,7635,0,없음,0,0,38
2026-06-19,다이소,12697,일시불,-,12697,0,없음,0,0,63
2026-06-22,네이버페이,20120,일시불,-,20120,0,포인트 적립,402,0,101
2026-06-24,교촌치킨,25409,일시불,-,25409,0,없음,0,0,127
2026-06-25,네이버페이,49060,일시불,-,49060,0,포인트 적립,981,0,245
2026-06-25,스타벅스 강남점,7575,일시불,-,7575,0,없음,0,0,38
2026-06-25,SK주유소,70094,일시불,-,70094,0,없음,0,0,350
2026-06-27,CGV,15530,일시불,-,15530,0,없음,0,0,78
2026-06-27,GS25 학동역점,5888,일시불,-,5888,0,없음,0,0,29
